iter	Passed	Remaining
0	33	33816
1	94	47089
2	123	41045
3	151	37729
4	183	36584
5	213	35435
6	242	34382
7	269	33433
8	299	32942
9	324	32119
10	350	31491
11	376	31028
12	401	30462
13	430	30289
14	460	30224
15	505	31068
16	546	31608
17	577	31510
18	607	31383
19	631	30932
20	654	30524
21	676	30083
22	701	29796
23	726	29553
24	748	29208
25	772	28934
26	793	28595
27	818	28408
28	842	28199
29	864	27943
30	889	27794
31	910	27557
32	936	27433
33	962	27351
34	983	27109
35	1004	26892
36	1025	26684
37	1046	26490
38	1068	26317
39	1091	26202
40	1111	26002
41	1133	25850
42	1155	25708
43	1175	25543
44	1197	25411
45	1220	25308
46	1239	25129
47	1261	25017
48	1287	24985
49	1305	24803
50	1324	24653
51	1347	24565
52	1370	24485
53	1392	24389
54	1414	24310
55	1437	24231
56	1457	24119
57	1479	24030
58	1500	23931
59	1518	23791
60	1538	23688
61	1559	23598
62	1582	23533
63	1602	23441
64	1624	23360
65	1647	23308
66	1669	23250
67	1689	23156
68	1712	23106
69	1734	23042
70	1755	22968
71	1779	22940
72	1800	22865
73	1818	22760
74	1837	22662
75	1858	22591
76	1880	22538
77	1918	22677
78	1950	22735
79	1977	22742
80	1998	22679
81	2019	22607
82	2039	22536
83	2057	22439
84	2078	22370
85	2099	22312
86	2126	22316
87	2144	22229
88	2164	22160
89	2187	22114
90	2210	22081
91	2233	22041
92	2255	22001
93	2277	21946
94	2297	21887
95	2321	21863
96	2343	21811
97	2362	21748
98	2383	21688
99	2406	21658
100	2429	21623
101	2451	21578
102	2472	21528
103	2494	21492
104	2518	21463
105	2539	21420
106	2562	21388
107	2586	21364
108	2606	21304
109	2629	21273
110	2649	21215
111	2706	21461
112	2741	21519
113	2774	21565
114	2798	21533
115	2820	21491
116	2842	21452
117	2864	21407
118	2884	21357
119	2908	21329
120	2931	21293
121	2953	21252
122	2974	21211
123	2996	21167
124	3017	21121
125	3040	21088
126	3062	21052
127	3084	21011
128	3105	20970
129	3127	20931
130	3150	20895
131	3171	20852
132	3194	20825
133	3217	20792
134	3239	20759
135	3261	20722
136	3283	20680
137	3305	20647
138	3328	20619
139	3350	20579
140	3373	20554
